"Table 026-0008 Building permits, values by activity sector, seasonally adjusted and unadjusted, monthly (dollars x 1,000)(1,4) Building Permits - 2802",,,,,,,,,,,,,,
Geography,Seasonal adjustment,Activity sector,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17
Canada,Unadjusted,Total residential and non-residential,5332663,5468808,7301390,7221880,9711367,10672320,9405006,8531229,8614148,9367192,7457196,6174455
Canada,Unadjusted,Residential,3507738,3564224,4794456,4424535,6365135,6451454,5660361,5511418,5147374,5601807,4666876,3996698
Canada,Unadjusted,Non-residential,1824925,1904584,2506934,2797345,3346232,4220866,3744645,3019811,3466774,3765385,2790320,2177757
Canada,Unadjusted,Industrial,315270,259543,454997,463498,718045,872846,657905,582560,672666,1014295,520549,500598
Canada,Unadjusted,Commercial,1021750,1262045,1355398,1190123,1699932,2213962,1648281,1702715,1386329,1960155,1588072,1202629
Canada,Unadjusted,Institutional and governmental,487905,382996,696539,1143724,928255,1134058,1438459,734536,1407779,790935,681699,474530
Canada,"Seasonally adjusted (2,3)",Total residential and non-residential,7931741,7833201,7380957,7496768,8204374,8454945,8168806,7671905,8013019,8324624,7706268,8071030
Canada,"Seasonally adjusted (2,3)",Residential,5143713,5178477,4650191,4602796,5167240,5166587,5036374,4912426,4856223,5000862,4786477,5190709
Canada,"Seasonally adjusted (2,3)",Non-residential,2788028,2654724,2730766,2893972,3037134,3288358,3132432,2759479,3156796,3323762,2919791,2880321
Canada,"Seasonally adjusted (2,3)",Industrial,508279,429828,507615,579660,624192,641093,621658,514313,634038,732499,588051,651545
Canada,"Seasonally adjusted (2,3)",Commercial,1444457,1505184,1386958,1356708,1546933,1759751,1494773,1448552,1483159,1700769,1563818,1540323
Canada,"Seasonally adjusted (2,3)",Institutional and governmental,835292,719712,836193,957604,866009,887514,1016001,796614,1039599,890494,767922,688453
