Account Name,Billing Address Line 1,Billing Zip/Postal Code,SIC Industry,SIC Code: SIC Code
LA CIE ELECT BRITTON LTEE,8555 CH DEVONSHIRE,H4P2L3,LARGE CONTRACTOR (1737 SERIES),CLC
MARCHAND ENT ELECTRICIEN LTEE,1480 RUE BARRE,H4L4M6,LARGE CONTRACTOR (1737 SERIES),CLC
SYSTEMES URBAINS INC,"*,8345 RUE PASCAL-GAGNON",H1P1Y5,LARGE CONTRACTOR (1737 SERIES),CLC
SEGA QC ELECTRIQUE INC,1359-D VOLTA,J4B7H5,SMALL CONTRACTOR (1733 SERIES),CSC
DEVELOPPEMENT OLYMBEC INC,5E ETAGE 333 BOUL DECARIE,H4N3M9,BUSINESS AND MAINTENANCE (7300 SERIES),MMB
OLYMBEC DEVELOPMENT INC,333 BOUL DECARIE,H4N3M9,DATA/VOICE CONTRACTOR,CDVS2
ASSOCIATION IMMOB F T Q INC,565 BOUL CREMAZIE EST,H2M2V6,BUSINESS AND MAINTENANCE (7300 SERIES),MMB
LES CONTROLES D'AVANT-GARD SCC,CONTROLES R L ENR 894 RUE BERLIER,H7L4K5,PANEL BUILDERS (3400 SERIES),IPP
IMPRIMERIES TRANSCONTINENTAL,* 1485 RUE DE COULOMB,J4B7L8,PULPMILLS (2600 SERIES),IPM
ELECT MICHEL LANGLOIS INC,597A BOUL LIONEL-BOULET,J3X1P7,MEDIUM CONTRACTOR (1735 SERIES),CMC
LES ENTREPRISES M R TECH INC,574 RUE ELLEN,J6S0B1,MEDIUM CONTRACTOR (1735 SERIES),CMC
SGM AUTOMATION INC,* 555 BOUL DES ERABLES,J6T6G3,SYSTEM INTEGRATORS,CSI
INTER PROVINCIAL ELECT LTD,105-5250 RUE FERRIER,H4P1L4,LARGE CONTRACTOR (1737 SERIES),CLC
H PASHA ELECTRIQUE INC,6710 RUE SAINT-JACQUES BUR 107,H4B1V8,MEDIUM CONTRACTOR (1735 SERIES),CMC
ENT ELECTRICIENS SIMPKIN LTÉE,5800 RUE SAINT-JACQUES,H4A2E9,LARGE CONTRACTOR (1737 SERIES),CLC
ENVIRONNEMENT ROUTIER NRJ INC,23 AVENUE MILTON,H8R1K6,SMALL CONTRACTOR (1733 SERIES),CSC
LES ENT D'ELECT REAL NOLET INC,* 2315 RUE DES ROSEAUX,J3M0B7,SMALL CONTRACTOR (1733 SERIES),CSC
FLORENT GUAY ELECTRIQUE INC,54 RTE 202,J0J1J0,SMALL CONTRACTOR (1733 SERIES),CSC
RICHARD NOLET ELECTRICIEN INC,1012 RUE GLADU,J3M1A6,SMALL CONTRACTOR (1733 SERIES),CSC
CHABOT & FILS INC,210 RUE OUELLETTE,J3M1A5,SMALL CONTRACTOR (1733 SERIES),CSC
